"Forrest 014","10125","Valid","L6","Quantity[26000, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-30.98333, 127.88333}]"
"Kalvesta","12225","Valid","L6","Quantity[7947, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{34.67167, -101.815}]"
"Lucerne Valley 011","14713","Valid","OC","Quantity[309, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{33.28944, -102.54306}]"
"Maricopa","15420","Valid","H","Quantity[50, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{33.25, -112.05}]"
"McCracken","15460","Valid","H4/5","Quantity[1530, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{38.525, -99.81}]"
"Mount Ayliff","16753","Valid","H6","Quantity[6400, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{33.71667, -102.76667}]"
"Nardoo (no. 1)","16897","Valid","L","Quantity[5000, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{29.36667, 79.43333}]"
"Ouzina","18053","Valid","H3.8","Quantity[35.5, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-75.83333, 158.2}]"
"Palermo","18070","Valid","Iron, IVA","Quantity[13630, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{39.16667, -101.28333}]"
"Penouille","34062","Valid","Iron, IAB complex","Quantity[691, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{30.33333, -98.95}]"
"Plainview (d)","55548","Valid","H5","Quantity[218.57, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-26.26167, 120.73333}]"
"Pomozdino","18852","Valid","L6","Quantity[277, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-25.78333, 137.93333}]"
"Ramlat al Wahibah 025","56382","Valid","H5","Quantity[11800, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{34.78333, -103.66667}]"
"Reckling Peak A80231","22471","Valid","H6","Quantity[813, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.23128, 158.44261}]"
"Reckling Peak A80232","22472","Valid","L6","Quantity[544.5, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.2509, 158.30797}]"
"Reckling Peak A80233","22473","Valid","H6","Quantity[3.8, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.20657, 158.49351}]"
"Reckling Peak A80234","22474","Valid","Eucrite-br","Quantity[15.5, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.21079, 158.45722}]"
"Reckling Peak A80235","22475","Valid","H3.8","Quantity[53.8, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.20733, 158.49357}]"
"Reckling Peak A80236","22476","Valid","H6","Quantity[46.6, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.21745, 158.39695}]"
"Reckling Peak A80237","22477","Valid","H3.2-3.7","Quantity[17.7, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.21498, 158.42109}]"
"Reckling Peak A80238","22478","Valid","H6","Quantity[10.2, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.2094, 158.46797}]"
"Reckling Peak A80239","22479","Valid","L5","Quantity[9.7, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.26667, 159.25}]"
"Reckling Peak A80240","22480","Valid","H5","Quantity[10.6, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.22193, 158.53607}]"
"Reckling Peak A80241","22481","Valid","H6","Quantity[2.1, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.2111, 158.44744}]"
"Reckling Peak A80242","22482","Valid","H6","Quantity[19.1, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.24078, 158.23886}]"
"Reckling Peak A80243","22483","Valid","H6","Quantity[4.9, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.20679, 158.48487}]"
"Reckling Peak A80244","22484","Valid","L6","Quantity[9, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.22116, 158.66995}]"
"Reckling Peak A80245","22485","Valid","L4","Quantity[44.3, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.21776, 158.60617}]"
"Reckling Peak A80246","22486","Valid","H5","Quantity[7.8, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.20676, 158.50007}]"
"Reckling Peak A80247","22487","Valid","H5","Quantity[6.7, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.23781, 158.26243}]"
"Reckling Peak A80248","22488","Valid","L6","Quantity[21.5, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.24226, 158.2669}]"
"Reckling Peak A80249","22489","Valid","H5","Quantity[124.5, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.22333, 158.68446}]"
"Reckling Peak A80250","22490","Valid","H6","Quantity[51.9, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.23614, 158.32788}]"
"Reckling Peak A80251","22491","Valid","LL6","Quantity[7, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.23837, 158.24867}]"
"Reckling Peak A80252","22492","Valid","H5","Quantity[25.1, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.22305, 158.56938}]"
"Reckling Peak A80253","22493","Valid","Eucrite-unbr","Quantity[8, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.20614, 158.50694}]"
"Reckling Peak A80254","22494","Valid","L6","Quantity[8.3, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.23611, 158.31754}]"
"Reckling Peak A80255","22495","Valid","Iron, IAB-sLL","Quantity[160.3, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.25201, 158.59721}]"
"Reckling Peak A80256","22496","Valid","H5","Quantity[7.7, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.21592, 158.61984}]"
"Reckling Peak A80257","22497","Valid","L5","Quantity[11.1, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.22384, 158.56194}]"
"Reckling Peak A80258","22498","Valid","Mesosiderite-an","Quantity[14.1, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.20775, 158.49356}]"
"Reckling Peak A80259","22499","Valid","H5","Quantity[58.2, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.20756, 158.50933}]"
"Reckling Peak A80260","22500","Valid","H6","Quantity[238.1, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.229, 158.26337}]"
"Reckling Peak A80261","22501","Valid","H4","Quantity[80.1, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.20798, 158.48295}]"
"Reckling Peak A80262","22502","Valid","H5","Quantity[413.5, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.22172, 158.68468}]"
"Reckling Peak A80263","22503","Valid","LL5","Quantity[136.2, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.23529, 158.3267}]"
"Reckling Peak A80264","22504","Valid","LL6","Quantity[261.2, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.219, 158.4182}]"
"Reckling Peak A80265","22505","Valid","H5","Quantity[15.6, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.20692, 158.52362}]"
"Reckling Peak A80266","22506","Valid","H4","Quantity[22.2, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.22227, 158.43047}]"
"Reckling Peak A80267","22507","Valid","LL6","Quantity[18.4, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.24369, 158.21734}]"
"Reckling Peak A80268","22508","Valid","Ureilite","Quantity[5.6, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.22616, 158.61317}]"
"Red Deer Hill","22509","Valid","H5","Quantity[61.4, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.24984, 158.20758}]"
"Red Dry Lake 002","22510","Valid","CV3","Quantity[61.4, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.21171, 158.44122}]"
"Red Dry Lake 003","22511","Valid","L4","Quantity[7.3, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.21964, 158.3792}]"
"Red Dry Lake 004","22512","Valid","H5","Quantity[3.4, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.21013, 158.47461}]"
"Red Dry Lake 005","22513","Valid","H5","Quantity[14.2, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.2173, 158.40175}]"
"Red Dry Lake 006","22514","Valid","H5","Quantity[36.7, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.2388, 158.27019}]"
"Red Dry Lake 009","22515","Valid","Mesosiderite-an","Quantity[5.8, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.20809, 158.49261}]"
"Red Dry Lake 022","22516","Valid","H5","Quantity[1.1, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.2061, 158.48433}]"
"Red Dry Lake 023","22517","Valid","LL6","Quantity[11.3, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.23599, 158.2172}]"
"Red Dry Lake 024","22518","Valid","H5","Quantity[9.7, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.22867, 158.2662}]"
"Red Dry Lake 025","22519","Valid","H5","Quantity[3.9, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.22305, 158.35396}]"
"Red Dry Lake 028","22520","Valid","H5","Quantity[29.1, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.24699, 158.24228}]"
"Red Dry Lake 029","22521","Valid","L6","Quantity[11.2, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.21547, 158.40042}]"
"Red Dry Lake 031","22522","Valid","LL5","Quantity[4.6, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.22278, 158.79288}]"
"Red Dry Lake 063","22523","Valid","H6","Quantity[68.5, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.2233, 158.35405}]"
"Red Dry Lake 064","22524","Valid","H6","Quantity[6.7, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.20663, 158.48102}]"
"Red Dry Lake 065","22525","Valid","L3.6-4","Quantity[153.2, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.21805, 158.81183}]"
"Red Dry Lake 067","22526","Valid","H5","Quantity[8.5, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.22342, 158.35226}]"
"Red Dry Lake 068","22527","Valid","Mesosiderite-an","Quantity[4.3, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.21321, 158.44041}]"
"Red Dry Lake 071","22528","Valid","EH5","Quantity[20.2, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.23537, 158.71484}]"
"Red River","22529","Valid","H5","Quantity[7.5, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.22062, 158.37624}]"
"Red Rock","22530","Valid","L6","Quantity[61.6, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.23503, 158.76036}]"
"Red Willow","22531","Valid","H6","Quantity[32.1, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.20921, 158.47558}]"
"Redfields","22532","Valid","Mesosiderite-an","Quantity[16.7, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.20864, 158.51051}]"
"Redwater","22533","Valid","L6","Quantity[23.9, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.22141, 158.67192}]"
"Reed City","22534","Valid","H6","Quantity[7.8, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.21466, 158.4273}]"
"Reggane 001","22535","Valid","H6","Quantity[9.8, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.23843, 158.28864}]"
"Reggane 002","22536","Valid","H4","Quantity[24.2, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.20655, 158.50946}]"
